weekday,weekno,crimedate,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
2,1,2001-01-01,92,233,296,1,97,65,167,413,29,41,60,5,32,66,1,3,70,2,5,2,1,2,0,0,0,0,0,0,0,97,40,0,1820
3,1,2001-01-02,78,118,143,1,4,4,101,221,35,35,65,2,9,68,1,2,66,0,11,1,0,1,0,0,0,0,0,0,0,175,2,0,1143
4,1,2001-01-03,49,136,165,0,3,5,96,226,35,51,72,7,7,57,0,2,79,0,16,0,1,3,1,0,0,0,0,0,0,133,7,0,1151
5,1,2001-01-04,42,133,173,3,5,1,96,243,29,55,87,3,9,55,1,4,57,2,19,2,0,2,1,0,0,0,0,0,0,142,2,0,1166
6,1,2001-01-05,53,142,178,2,9,2,90,265,29,55,86,5,6,55,0,8,68,1,16,0,0,3,3,0,0,0,0,0,0,185,6,0,1267
7,1,2001-01-06,33,156,236,1,3,9,80,246,36,54,76,3,19,64,0,3,67,4,21,1,0,4,4,0,0,0,0,0,0,166,4,0,1290
1,1,2001-01-07,18,129,218,2,6,5,79,205,42,36,58,2,8,51,0,0,61,1,15,3,0,3,0,0,0,0,0,1,0,155,7,0,1105
2,2,2001-01-08,54,104,192,1,9,6,90,244,36,44,62,3,5,53,0,5,67,0,12,1,1,1,3,0,0,0,0,0,0,161,3,0,1157
3,2,2001-01-09,50,120,212,0,3,5,76,261,52,38,65,9,9,75,0,2,63,2,15,0,4,2,3,0,0,0,0,0,0,115,3,0,1184
4,2,2001-01-10,57,113,199,1,6,5,101,255,40,41,62,7,5,71,3,1,88,2,27,2,0,3,2,0,0,0,0,0,0,145,1,0,1237
5,2,2001-01-11,39,111,222,2,4,5,87,257,37,34,59,1,14,62,1,5,89,5,25,0,0,1,2,1,0,0,0,0,1,160,4,0,1228
6,2,2001-01-12,49,150,239,0,1,8,103,290,35,45,53,10,16,69,0,7,78,1,31,3,1,2,4,1,0,0,0,0,0,152,5,0,1353
7,2,2001-01-13,24,154,251,2,4,9,89,268,41,45,62,4,9,53,2,4,79,1,18,1,0,2,5,0,0,0,0,0,0,175,9,0,1311
1,2,2001-01-14,27,134,249,2,3,4,73,208,34,45,59,2,8,44,0,5,72,2,10,1,0,2,1,0,0,0,0,1,0,128,5,0,1119
2,3,2001-01-15,53,130,203,3,6,4,104,313,42,48,62,7,11,71,1,6,62,1,13,1,0,0,1,0,0,0,0,0,0,167,3,0,1312
