crimedate,weekday,weekno,month,year,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
2014-01-01,4,1,1,2014,221,63,231,6,109,42,71,168,15,31,40,4,29,28,0,4,33,0,1,0,0,1,0,0,0,0,0,0,0,45,55,0,1197
2014-01-02,5,1,1,2014,36,50,79,5,7,0,28,101,23,29,17,3,8,19,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,485
2014-01-03,6,1,1,2014,38,41,86,4,6,2,43,129,11,27,26,2,3,33,0,1,24,1,0,0,0,0,2,0,0,0,0,0,0,81,2,0,562
2014-01-04,7,1,1,2014,32,52,118,5,5,0,31,137,10,24,18,6,8,26,0,1,32,0,0,0,0,0,1,0,0,0,0,0,0,69,2,0,577
2014-01-05,1,1,1,2014,9,48,90,1,0,1,36,85,8,19,10,3,2,24,0,1,28,1,1,0,0,1,0,0,0,0,0,0,0,33,3,0,404
2014-01-06,2,2,1,2014,42,30,59,1,6,0,40,82,8,11,13,2,1,23,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,27,0,0,367
2014-01-07,3,2,1,2014,34,45,72,3,5,0,47,103,12,21,19,2,3,23,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,54,2,0,467
2014-01-08,4,2,1,2014,39,53,88,2,2,0,53,133,23,21,14,2,3,41,0,0,30,1,6,0,0,1,1,0,0,0,0,0,0,83,2,0,598
2014-01-09,5,2,1,2014,42,57,96,1,8,3,37,135,11,30,42,6,5,32,1,2,25,0,1,0,0,1,0,0,0,0,0,0,0,79,0,0,614
2014-01-10,6,2,1,2014,43,61,107,2,12,2,41,157,9,24,28,5,5,42,0,0,32,0,3,0,1,1,2,0,0,0,0,0,0,56,2,0,635
2014-01-11,7,2,1,2014,37,59,117,7,6,1,31,157,19,31,24,6,8,35,0,0,49,0,7,0,0,0,2,0,0,0,0,0,0,52,6,0,654
2014-01-12,1,2,1,2014,22,68,150,4,8,1,51,147,23,16,27,7,5,26,0,1,39,1,5,0,0,1,1,0,0,0,0,0,0,83,1,0,687
2014-01-13,2,3,1,2014,47,66,112,3,2,2,42,188,25,32,20,8,5,59,1,1,42,0,1,0,0,2,1,0,0,0,0,0,0,100,2,0,761
2014-01-14,3,3,1,2014,42,63,102,3,14,3,34,149,16,27,31,5,10,50,1,1,47,0,8,1,1,1,1,0,0,0,0,0,0,76,2,0,688
2014-01-15,4,3,1,2014,39,54,132,3,7,1,60,160,32,25,24,10,6,44,1,2,39,2,5,0,1,1,0,0,0,0,0,0,0,95,2,0,745
2014-01-16,5,3,1,2014,34,59,110,0,8,1,35,173,24,25,22,9,8,47,0,1,40,1,3,0,1,0,1,0,0,0,0,0,0,83,3,0,688
2014-01-17,6,3,1,2014,47,57,122,3,4,2,59,190,21,24,24,9,9,61,0,0,27,2,0,0,0,1,1,0,0,0,0,0,0,82,1,0,746
2014-01-18,7,3,1,2014,37,74,114,4,5,2,34,132,24,28,30,9,9,31,1,0,29,1,4,0,1,0,0,0,0,0,0,0,0,89,5,0,663
2014-01-19,1,3,1,2014,25,80,135,5,11,1,32,137,24,22,32,6,2,28,0,1,33,2,0,0,0,1,1,0,0,0,0,0,0,67,3,0,648
2014-01-20,2,4,1,2014,33,66,107,3,6,3,47,172,20,32,34,5,9,46,0,2,32,0,1,0,0,2,1,0,0,0,0,0,0,72,2,0,695
2014-01-21,3,4,1,2014,38,49,75,0,3,2,48,126,16,26,17,8,7,41,1,1,46,1,7,0,0,0,0,0,0,0,0,0,0,75,3,0,590
2014-01-22,4,4,1,2014,34,54,103,3,8,1,45,140,19,28,17,5,6,42,1,1,37,2,3,0,0,0,0,0,0,0,0,0,0,75,0,0,624
2014-01-23,5,4,1,2014,41,57,101,3,3,4,38,138,23,25,28,5,8,32,0,1,43,0,1,0,0,0,2,0,0,0,0,0,0,69,2,0,624
2014-01-24,6,4,1,2014,45,55,87,1,8,1,51,178,18,34,30,8,5,53,1,2,25,0,1,0,0,0,1,0,0,0,0,0,0,84,0,0,688
2014-01-25,7,4,1,2014,36,53,134,2,8,2,54,146,17,26,32,2,7,27,0,1,33,2,2,0,0,2,3,0,0,0,0,0,0,86,3,0,678
2014-01-26,1,4,1,2014,25,67,123,1,6,2,40,112,22,20,24,6,4,37,0,0,37,1,2,0,0,0,1,0,0,0,0,0,0,63,2,0,595
2014-01-27,2,5,1,2014,30,41,93,2,6,0,52,132,15,19,41,2,5,27,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,55,1,0,546
2014-01-28,3,5,1,2014,31,55,81,4,5,0,74,109,15,32,37,5,7,23,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,89,2,0,595
