date,weekday,weekno,month,year,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2014-01-01,4,1,1,2014,221,63,231,6,109,42,71,168,15,31,40,4,29,28,0,4,33,0,1,0,0,1,0,0,0,0,0,0,0,45,55,0,1197,18.9,14.9,1026.5,3.7,9.5,15.9,22.9,24.1,3.9,0.07,3.9,1,0,1,0,0,0
2014-01-02,5,1,1,2014,36,50,79,5,7,0,28,101,23,29,17,3,8,19,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,485,20.2,15.4,1022.9,3.0,12.7,19.0,25.1,24.1,14.0,0.02,9.8,1,0,1,0,0,0
2014-01-03,6,1,1,2014,38,41,86,4,6,2,43,129,11,27,26,2,3,33,0,1,24,1,0,0,0,0,2,0,0,0,0,0,0,81,2,0,562,7.2,-1.3,1029.8,9.9,8.7,15.9,25.1,21.9,-2.0,0.01,9.1,0,0,0,0,0,0
2014-01-04,7,1,1,2014,32,52,118,5,5,0,31,137,10,24,18,6,8,26,0,1,32,0,0,0,0,0,1,0,0,0,0,0,0,69,2,0,577,24.5,16.2,1014.5,8.7,14.4,21.0,29.9,33.1,17.1,0.0,7.1,1,1,1,0,0,0
2014-01-05,1,1,1,2014,9,48,90,1,0,1,36,85,8,19,10,3,2,24,0,1,28,1,1,0,0,1,0,0,0,0,0,0,0,33,3,0,404,23.6,20.9,1016.2,1.2,12.6,22.0,27.0,33.1,10.0,0.22,1.2,1,0,1,0,0,0
2014-01-06,2,2,1,2014,42,30,59,1,6,0,40,82,8,11,13,2,1,23,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,27,0,0,367,-7.5,-16.8,1023.1,8.1,16.4,22.9,31.1,7.0,-14.1,0.01,9.8,0,0,1,0,0,0
2014-01-07,3,2,1,2014,34,45,72,3,5,0,47,103,12,21,19,2,3,23,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,54,2,0,467,-5.8,-14.2,1028.2,10.0,11.7,18.1,24.1,3.9,-15.0,0.0,9.8,0,0,0,0,0,0
2014-01-08,4,2,1,2014,39,53,88,2,2,0,53,133,23,21,14,2,3,41,0,0,30,1,6,0,0,1,1,0,0,0,0,0,0,83,2,0,598,6.2,-1.0,1030.2,10.0,2.6,6.0,999.9,15.1,-11.0,0.0,9.8,0,0,0,0,0,0
2014-01-09,5,2,1,2014,42,57,96,1,8,3,37,135,11,30,42,6,5,32,1,2,25,0,1,0,0,1,0,0,0,0,0,0,0,79,0,0,614,11.4,5.9,1033.6,8.0,3.4,9.9,999.9,23.0,-2.0,0.0,7.9,0,0,1,0,0,0
2014-01-10,6,2,1,2014,43,61,107,2,12,2,41,157,9,24,28,5,5,42,0,0,32,0,3,0,1,1,2,0,0,0,0,0,0,56,2,0,635,31.7,30.2,1018.1,1.5,7.2,13.0,18.1,39.9,24.1,0.0,5.1,1,1,1,0,1,0
2014-01-11,7,2,1,2014,37,59,117,7,6,1,31,157,19,31,24,6,8,35,0,0,49,0,7,0,0,0,2,0,0,0,0,0,0,52,6,0,654,37.6,35.6,1000.8,5.8,10.7,17.1,26.0,42.1,28.9,0.93,2.0,1,1,0,0,0,0
2014-01-12,1,2,1,2014,22,68,150,4,8,1,51,147,23,16,27,7,5,26,0,1,39,1,5,0,0,1,1,0,0,0,0,0,0,83,1,0,687,33.5,27.4,1008.8,9.9,11.8,17.1,28.0,41.0,28.9,0.07,1.2,0,0,0,0,0,0
2014-01-13,2,3,1,2014,47,66,112,3,2,2,42,188,25,32,20,8,5,59,1,1,42,0,1,0,0,2,1,0,0,0,0,0,0,100,2,0,761,42.4,32.8,1002.8,10.0,12.2,17.1,24.1,46.9,28.9,0.0,1.2,0,0,0,0,0,0
2014-01-14,3,3,1,2014,42,63,102,3,14,3,34,149,16,27,31,5,10,50,1,1,47,0,8,1,1,1,1,0,0,0,0,0,0,76,2,0,688,31.0,25.5,1007.1,8.9,10.9,25.1,35.9,46.9,27.0,0.0,999.9,0,0,1,0,0,0
2014-01-15,4,3,1,2014,39,54,132,3,7,1,60,160,32,25,24,10,6,44,1,2,39,2,5,0,1,1,0,0,0,0,0,0,0,95,2,0,745,20.3,12.1,1016.7,9.1,11.7,21.0,28.0,35.1,16.0,0.0,999.9,0,0,1,0,0,0
2014-01-16,5,3,1,2014,34,59,110,0,8,1,35,173,24,25,22,9,8,47,0,1,40,1,3,0,1,0,1,0,0,0,0,0,0,83,3,0,688,26.0,19.8,1008.4,8.3,12.6,18.1,28.9,35.6,17.1,0.0,999.9,0,0,1,0,0,0
