crimedate,weekday,dayofmonth,julian_date,weekno,month,quarter,year,temp,dewp,slp,visib,wdsp,mxpsd,prcp,sndp,fog,num_crimes
2016-06-29,4,29,181,26,6,2,2016,67.9,48.9,1019.4,10.0,6.8,9.9,0.0,0.0,0,804
2016-07-07,5,07,189,27,7,3,2016,78.4,68.5,1008.5,10.0,6.1,11.1,0.13,0.0,0,789
2016-04-14,5,14,105,15,4,2,2016,50.2,27.3,1024.8,10.0,7.7,11.1,0.0,0.0,0,690
2016-03-25,6,25,85,12,3,1,2016,35.8,25.6,1016.0,10.0,8.5,17.1,1.0,0.0,0,715
2016-11-27,1,27,332,47,11,4,2016,39.4,34.4,1018.8,6.6,8.1,11.1,0.0,0.0,0,693
2016-11-19,7,19,324,46,11,4,2016,38.9,23.5,1017.8,10.0,17.7,25.1,0.12,0.0,0,676
2016-11-04,6,04,309,44,11,4,2016,54.9,42.9,1028.9,10.0,4.6,15.0,0.0,0.0,0,783
2016-08-16,3,16,229,33,8,3,2016,76.4,68.5,1015.3,8.2,7.2,13.0,0.29,0.0,0,816
2016-08-21,1,21,234,33,8,3,2016,68.5,54.9,1010.0,10.0,8.9,13.0,1.01,0.0,0,786
2016-05-22,1,22,143,20,5,2,2016,67.2,40.7,1017.8,10.0,5.4,11.1,0.0,0.0,0,750
2016-06-02,5,02,154,22,6,2,2016,72.6,53.2,1014.9,10.0,6.5,13.0,0.18,0.0,0,800
2016-01-19,3,19,19,3,1,1,2016,8.1,-5.3,1032.9,10.0,6.4,13.0,0.0,0.0,0,610
2016-11-11,6,11,316,45,11,4,2016,51.4,36.1,1021.9,10.0,12.4,22.0,0.0,0.0,0,797
2016-09-09,6,09,253,36,9,3,2016,75.2,66.7,1012.5,10.0,4.3,9.9,0.01,0.0,0,818
2016-11-01,3,01,306,44,11,4,2016,67.1,55.2,1011.7,10.0,9.5,14.0,0.0,0.0,0,909
2016-08-27,7,27,240,34,8,3,2016,75.9,67.5,1017.3,8.0,7.8,12.0,0.65,0.0,0,819
2016-05-21,7,21,142,20,5,2,2016,64.5,34.8,1018.9,10.0,8.4,14.0,0.0,0.0,0,792
2016-01-24,1,24,24,3,1,1,2016,29.1,18.3,1017.5,10.0,7.5,14.0,0.0,0.0,0,675
2016-12-23,6,23,358,51,12,4,2016,32.2,25.4,1026.2,9.1,6.1,9.9,0.0,2.0,0,727
2016-02-11,5,11,42,6,2,1,2016,15.4,-0.8,1026.1,10.0,7.1,9.9,0.0,1.2,0,582
2016-06-21,3,21,173,25,6,2,2016,77.1,51.2,1014.6,10.0,7.4,15.9,0.0,0.0,0,824
2016-09-11,1,11,255,36,9,3,2016,66.8,50.9,1020.3,10.0,4.8,9.9,0.03,0.0,0,758
2016-06-13,2,13,165,24,6,2,2016,71.1,48.3,1016.2,10.0,5.7,12.0,0.0,0.0,0,794
2016-09-01,5,01,245,35,9,3,2016,70.2,56.3,1019.8,10.0,10.7,18.1,0.0,0.0,0,1033
2016-11-08,3,08,313,45,11,4,2016,57.1,45.3,1022.2,9.9,7.4,15.9,0.01,0.0,0,644
