day,year,mo,da,temp,slp,visib,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
4,2009,01,01,2009-01-01,2.8,11.4,26.0,33.0,21.2,5.0,0.55,5.1,0,327625
5,2009,01,02,2009-01-02,12.0,13.7,20.0,21.0,39.9,5.0,0.0,3.1,0,376708
6,2009,01,03,2009-01-03,20.2,11.7,18.1,24.1,35.1,26.6,0.0,2.0,0,432710
7,2009,01,04,2009-01-04,13.7,15.0,17.1,24.1,35.6,21.2,0.0,2.0,0,367525
1,2009,01,05,2009-01-05,24.7,13.1,8.9,999.9,41.0,19.4,0.0,1.2,0,370901
2,2009,01,06,2009-01-06,17.8,14.4,12.0,999.9,35.6,26.6,0.0,1.2,0,427394
3,2009,01,07,2009-01-07,31.0,4.3,11.1,999.9,46.9,28.4,0.45,999.9,1,371043
4,2009,01,08,2009-01-08,30.7,9.7,27.0,35.0,48.2,32.0,0.65,999.9,1,477502
5,2009,01,09,2009-01-09,12.4,15.0,20.0,26.0,33.1,21.2,0.0,999.9,0,520846
6,2009,01,10,2009-01-10,9.6,14.5,20.0,999.9,28.9,15.8,99.99,999.9,0,483350
7,2009,01,11,2009-01-11,27.3,3.7,21.0,25.1,39.0,21.2,0.49,2.0,0,405075
1,2009,01,12,2009-01-12,21.9,9.6,12.0,999.9,32.0,19.4,0.07,1.2,0,414642
2,2009,01,13,2009-01-13,18.4,14.0,8.9,999.9,35.6,10.4,0.02,1.2,0,442543
3,2009,01,14,2009-01-14,17.8,13.0,22.0,31.1,42.1,17.6,0.19,999.9,0,489177
4,2009,01,15,2009-01-15,7.2,8.6,14.0,999.9,21.9,14.0,0.0,3.9,1,486450
5,2009,01,16,2009-01-16,-2.2,15.0,12.0,999.9,17.1,-5.8,0.19,3.1,0,535200
6,2009,01,17,2009-01-17,-0.1,14.8,8.9,999.9,19.0,1.4,0.0,2.0,0,511023
7,2009,01,18,2009-01-18,25.4,6.0,16.9,20.0,39.0,12.2,0.34,2.0,0,419962
1,2009,01,19,2009-01-19,30.1,5.1,7.0,999.9,37.0,28.4,0.3,1.2,0,352534
2,2009,01,20,2009-01-20,26.4,7.4,13.0,999.9,33.1,26.6,0.08,2.0,0,433639
3,2009,01,21,2009-01-21,15.4,9.9,15.0,18.1,32.0,17.6,0.02,2.0,0,478268
4,2009,01,22,2009-01-22,14.5,14.2,17.1,21.0,33.8,19.4,0.0,1.2,0,498241
5,2009,01,23,2009-01-23,23.4,14.2,12.0,999.9,41.0,14.0,0.0,1.2,0,519394
6,2009,01,24,2009-01-24,26.0,10.6,15.9,25.1,44.6,23.0,0.0,999.9,0,547591
7,2009,01,25,2009-01-25,3.7,15.0,15.0,19.0,26.1,5.0,0.0,999.9,0,460723
1,2009,01,26,2009-01-26,5.8,15.0,9.9,999.9,28.4,8.6,0.0,999.9,0,434081
2,2009,01,27,2009-01-27,9.4,15.0,8.9,999.9,30.2,12.2,0.0,999.9,0,471788
3,2009,01,28,2009-01-28,26.7,7.3,25.1,34.0,57.2,15.8,0.21,1.2,1,455187
4,2009,01,29,2009-01-29,28.5,10.4,28.9,40.0,57.2,26.6,1.06,999.9,0,503352
5,2009,01,30,2009-01-30,20.4,14.6,12.0,15.9,35.6,15.8,0.0,999.9,0,538365
6,2009,01,31,2009-01-31,15.7,11.4,17.1,22.9,32.0,21.2,0.0,999.9,0,539574
7,2009,02,01,2009-02-01,19.0,15.0,21.0,29.9,48.2,17.6,0.0,999.9,0,429758
1,2009,02,02,2009-02-02,32.4,11.0,11.1,999.9,53.6,23.0,0.0,999.9,1,403372
2,2009,02,03,2009-02-03,29.8,6.1,25.1,36.9,39.2,24.8,0.03,3.1,1,452356
3,2009,02,04,2009-02-04,17.6,8.9,17.1,999.9,28.9,12.2,0.28,3.9,0,356567
4,2009,02,05,2009-02-05,1.0,15.0,19.0,21.0,17.1,3.2,0.0,3.1,0,535477
5,2009,02,06,2009-02-06,3.9,15.0,21.0,999.9,26.1,5.0,0.0,2.0,0,546688
6,2009,02,07,2009-02-07,16.2,13.8,17.1,24.1,44.6,1.4,0.0,1.2,0,513313
7,2009,02,08,2009-02-08,36.3,11.4,22.0,28.9,57.2,39.9,0.0,999.9,0,425839
1,2009,02,09,2009-02-09,18.2,15.0,13.0,15.9,39.2,26.6,0.0,999.9,0,406198
2,2009,02,10,2009-02-10,21.1,14.6,9.9,999.9,39.2,21.2,0.0,999.9,0,445672
3,2009,02,11,2009-02-11,41.0,6.3,8.9,999.9,60.8,37.4,0.0,999.9,0,463213
4,2009,02,12,2009-02-12,43.7,6.2,23.9,35.0,53.6,42.1,0.18,999.9,1,510174
5,2009,02,13,2009-02-13,22.8,14.3,22.9,29.9,46.4,30.2,0.0,999.9,0,549188
